index,text,text2,text3
0,"than the lifetime of the radiationless 3 → 2 transition τ (if τ ≫ τ, known as a ""favourable lifetime ratio""), the population of the ""E"" will be essentially zero (""N"" ≈ 0) and a population of excited state atoms will accumulate in level 2 (""N"" > 0). If over half the ""N"" atoms can be accumulated in this state, this will exceed the population of the ground state ""N"". A population inversion (""N"" > ""N"" ) has thus been achieved between level 1 and 2, and optical amplification at the frequency ν can be obtained. Because at least half","demonstrated by using light originating from two different laser sources. There is a figure in ""Quantum Optics"" that describes V-type and formula_1-type atoms clearly. Simply, V-type atoms have 3 states: formula_5, formula_6, and formula_7. The energy levels of formula_5 and formula_6 are higher than that of formula_7. When electrons in states formula_5 and :formula_6 subsequently decay to state formula_7, two kinds of emission are radiated. In formula_1-type atoms, there are also 3 states: formula_5, formula_6, and :formula_7. However, in this type, formula_5 is at the highest energy level, while formula_6 and :formula_7 are at lower levels. When two electrons in","special case occurs where a system oscillates between two unstable levels that have the same life time formula_52 . If atoms are excited at a constant, say n/time, to the first state, some decay and the rest have a probability formula_53 to transition to the second state, so in the time interval between t and (t+dt) the number of atoms that jump to the second state from the first is formula_54, so at time t the number of atoms in the second state is The rate of decay from state two depends on the number of atoms that were collected"
1,"repeatedly and consistently proven by radiolabeling of SAM methyl group with carbon-14 (C-CH)SAM). DMT can be synthesized through several possible pathways from different starting materials. The two most commonly encountered synthetic routes are through the reaction of indole with oxalyl chloride followed by reaction with dimethylamine and reduction of the carbonyl functionalities with lithium aluminum hydride to form DMT. The second commonly encountered route is through the n,n-dimethylation of tryptamine using formaldehyde followed by reduction with sodium cyanoborohydride or sodium triacetoxyborohydride. Sodium borohydride is not used as it reduces the formaldehyde to methanol before it is able to react with","this reaction, methylmagnesium bromide is reacted with isophorone with and without 1 mole percent of added copper(I) chloride (see figure). Without added salt the main products are alcohol B (42%) from nucleophilic addition to the carbonyl group and diene C (48%) as its dehydration reaction product. With added salt the main product is 1,4-adduct A (82%) with some C (7%). A 1,6-addition is also possible, for example in one step of the commercial-scale production of fulvestrant: Diastereoselective conjugate addition reactions of chiral organocuprates provide β-functionalized ketones in high yield and diastereoselectivity. A disadvantage of these reactions is the requirement of","1,1-dimethyldiborane, and trimethyldiborane. Other products are hydrogen gas and lead metal. Other methods to form methyldiboranes include treating hydrogen with trimethylborane between 80 and 200 °C under pressure, or treating a metal borohydride with trimethylborane in the presence of hydrogen chloride, aluminium chloride or boron trichloride. If the borohydride is sodium borohydride, then methane is a side product. If the metal is lithium, then no methane is produced. dimethylchloroborane and methyldichloroborane are also produced as gaseous products. When CpZr(CH) reacts with diborane, a borohydro group inserts into the zirconium-carbon bond,and methyl diboranes are produced. In ether dimethylcalcium reacts with diborane"
2,"particle can be expressed as a linear combination of just two eigenstates, or eigenspinors. These are traditionally labeled spin up and spin down. Because of this, the quantum-mechanical spin operators can be represented as simple 2 × 2 matrices. These matrices are called the Pauli matrices. Creation and annihilation operators can be constructed for spin- objects; these obey the same commutation relations as other angular momentum operators. One consequence of the generalized uncertainty principle is that the spin projection operators (which measure the spin along a given direction like ""x"", ""y"", or ""z"") cannot be measured simultaneously. Physically, this means","in formula_5 and σ takes on 2""s""+1 values, where ""s"" is the half-integral intrinsic spin of the fermion. For electrons ""s"" = 1/2 and σ can have two values (""spin-up"": 1/2 and ""spin-down"": −1/2). It is assumed that the positions of the coordinates in the notation for Ψ have a well-defined meaning. For instance, the 2-fermion function Ψ(1,2) will in general be not the same as Ψ(2,1). This implies that in general formula_6 and therefore we can define meaningfully a ""transposition operator"" formula_7 that interchanges the coordinates of particle ""i"" and ""j"". In general this operator will not be equal","""s"" (and = 0). Spin operators have the ladder operators: which raise or lower the spin magnetic quantum number ""m"" by one unit. Spherical bases have broad applications in pure and applied mathematics and physical sciences where spherical geometries occur. The transition amplitude is proportional to matrix elements of the dipole operator between the initial and final states. We use an electrostatic, spinless model for the atom and we consider the transition from the initial energy level E to final level E. These levels are degenerate, since the energy does not depend on the magnetic quantum number m or m′."
3,"summation convention. The generalized Maxwell's equations possess a certain symmetry, called a ""duality transformation"". One can choose any real angle , and simultaneously change the fields and charges everywhere in the universe as follows (in Gaussian units): where the primed quantities are the charges and fields before the transformation, and the unprimed quantities are after the transformation. The fields and charges after this transformation still obey the same Maxwell's equations. The matrix is a two-dimensional rotation matrix. Because of the duality transformation, one cannot uniquely decide whether a particle has an electric charge, a magnetic charge, or both, just by","other. If like poles are facing each other though, they are repulsed from the larger magnetic field. The Gilbert model almost predicts a correct mathematical form for this force and is easier to understand qualitatively. For if a magnet is placed in a uniform magnetic field then both poles will feel the same magnetic force but in opposite directions, since they have opposite magnetic charge. But, when a magnet is placed in the non-uniform field, such as that due to another magnet, the pole experiencing the large magnetic field will experience the large force and there will be a net","regroup and explain the somehow dynamic but non-relativistic quasistatic approximations of Maxwell's equations. In 1905 Einstein made use of the non-Galilean character of Maxwell's equations to develop his theory of special relativity. The special property embedded in Maxwell's equations is known as the Lorentz invariance. In Maxwell's equations frame, assuming that the speed of moving charges is small compared to the speed of light, it is possible to derive approximations that fulfill Galilean invariance. This approach enables the rigorous definition of two main mutually exclusive limits known as quasi-electrostatics (electrostatics with displacement currents or ohmic currents) and quasi-magnetostatics (magnetostatics with"
4,"to mention both conventions in the results that follow. In this setting, the eigenvalues for formula_12 are referred to as the weights of the representation. The following elementary result is a key step in the analysis. Suppose that formula_23 is an eigenvector for formula_12 with eigenvalue formula_25, that is, that formula_26. Then In other words, formula_28 is either the zero vector or an eigenvector for formula_12 with eigenvalue formula_30 and formula_31 is either zero or an eigenvector for formula_12 with eigenvalue formula_33. Thus, the operator formula_10 acts as a raising operator, increasing the weight by 2, while formula_11 acts as","this point using formula_52. Form the reduced density matrix formula_53 for the first two block system, the block and the left-site. By definition it is the formula_54 matrix: formula_55 Diagonalize formula_53 and form the formula_57 matrix formula_58, which rows are the formula_59 eigenvectors associated with the formula_59 largest eigenvalues formula_61 of formula_53. So formula_58 is formed by the most significant eigenstates of the reduced density matrix. You choose formula_59 looking to the parameter formula_65: formula_66. Form the formula_54 matrix representation of operators for the system composite of the block and left-site, and for the system composite of right-site and universe-block,","some operator formula_12 onto x, formula_13. First, the algorithm represents the vector formula_8 as a quantum state of the form: Next, Hamiltonian simulation techniques are used to apply the unitary operator formula_16 to formula_17 for a superposition of different times formula_18. The ability to decompose formula_17 into the eigenbasis of formula_7 and to find the corresponding eigenvalues formula_21 is facilitated by the use of quantum phase estimation. The state of the system after this decomposition is approximately: where formula_23 is the eigenvector basis of formula_7, and formula_25. We would then like to perform the linear map taking formula_26 to formula_27,"
5,"double counting: where ""r"" is the position of the ""i""th atom, and ""V"" is the potential energy between two atoms. It is difficult to solve this many-body problem explicitly in either classical or quantum mechanics. In order to simplify the task, two important approximations are usually imposed. First, the sum is only performed over neighboring atoms. Although the electric forces in real solids extend to infinity, this approximation is still valid because the fields produced by distant atoms are effectively screened. Secondly, the potentials ""V"" are treated as harmonic potentials. This is permissible as long as the atoms remain close","time. Take one of those nine space dimensions and make it a circle of radius R, so that traveling in that direction for a distance L = 2πR takes you around the circle and brings you back to where you started. A particle traveling around this circle will have a quantized momentum around the circle, because its momentum is linked to its wavelength (see Wave-particle duality), and 2πR must be a multiple of that. In fact, the particle momentum around the circle - and the contribution to its energy - is of the form n/R (in standard units, for an","physics. This can be heuristically understood as a relation to the relevant length scales in the problem: formula_21 is the length of the potential and this identifies a momentum scale for this problem as, setting formula_60, formula_61. In mass weighted scales, we identify an energy scale as formula_62 and form a dimensionless quantity using the height of the potential and the energy scale formula_62 as formula_64. Reintroducing formula_33 and formula_34, we discover: formula_67, which is precisely our shape parameter formula_20. Using formula_20, the reflection coefficient becomes: For formula_71, one finds formula_72 ≅ formula_73 ∝ formula_74. The power of formula_75 is"
6,"This implies a period of reionization during which some of the material of the universe was broken into hydrogen ions. The CMB photons are scattered by free charges such as electrons that are not bound in atoms. In an ionized universe, such charged particles have been liberated from neutral atoms by ionizing (ultraviolet) radiation. Today these free charges are at sufficiently low density in most of the volume of the universe that they do not measurably affect the CMB. However, if the IGM was ionized at very early times when the universe was still denser, then there are two main","of the universe. The cosmic microwave background (CMB) radiation is light that was emitted after recombination that is only now reaching our telescopes. Therefore, looking at, for example, Wilkinson Microwave Anisotropy Probe (WMAP) data, one is basically looking back in time to see an image of the universe when it was only 379,000 years old. WMAP indicates (Figure 1) a smooth, homogeneous universe with density anisotropies of 10 parts per million. However, There are large structures and density fluctuations in the present universe. Galaxies, for instance, are a million times more dense than the universe's mean density. The current belief","path of the photons formula_3 was approximately equal to the horizon size of the universe formula_4. After this photons were able to stream freely, producing the cosmic microwave background as we know it, and the universe became transparent. The interaction rate of the photons is given by where formula_6 is the electron number density, formula_7 is the electron cross sectional area, and formula_8 is the speed of light. In the matter-dominated era (when recombination takes place), where formula_10 is the cosmic scale factor. formula_11 also decreases as a more complicated function of formula_10, at a faster rate than formula_2. By"
7,"20-oxidase, ""ga1"", ""ga1-3""), wheat reduced-height genes (""Rht"") and a rice semidwarf gene (""sd1"") were cloned. These were identified as gibberellin biosynthesis genes or cellular signaling component genes. Stem growth in the mutant background is significantly reduced leading to the dwarf phenotype. Photosynthetic investment in the stem is reduced dramatically as the shorter plants are inherently more stable mechanically. Assimilates become redirected to grain production, amplifying in particular the effect of chemical fertilizers on commercial yield. HYVs significantly outperform traditional varieties in the presence of adequate irrigation, pesticides, and fertilizers. In the absence of these inputs, traditional varieties may outperform HYVs.","survival and proliferation can be thought of as “disease-susceptibility genes.” Recessive resistance genes are disease-susceptibility candidates. For example, a mutation disabled an ""Arabidopsis"" gene encoding pectate lyase (involved in cell wall degradation), conferring resistance to the powdery mildew pathogen ""Golovinomyces cichoracearum"". Similarly, the Barley ""MLO"" gene and spontaneously mutated pea and tomato ""MLO"" orthologs also confer powdery mildew resistance. ""Lr34"" is a gene that provides partial resistance to leaf and yellow rusts and powdery mildew in wheat. ""Lr34"" encodes an adenosine triphosphate (ATP)–binding cassette (ABC) transporter. The dominant allele that provides disease resistance was recently found in cultivated wheat (not","of ""FLS2"", and ""hrp"" genes are directly related to disease incitement and hypersensitive response to resistant plants. In short, the more elicitors that are present within flagellin perception, the more plant defense response will occur regardless of virulence. It is just more common for avirulent pathogen to produce more elicitors. The design of this experiment is similar to previous literature from and but unlike those two publications, in this publication, the promotor used was the 35S cauliflower mosaic virus promotor used to express ""FLS2"" coding sequences fused to a triple c-myc tag. What happens to a ""FLS2"" gene in ""Arabidopsis"""
8,"and the three carbon–carbon single bonds. Being a fully benzenoid PAH means that triphenylene is much more resonance stable than its isomers chrysene, benz[""a""]anthracene, benzo[""c""]phenanthrene, and tetracene. This makes it much more difficult to hydrogenate to the saturated hydrocarbon. In light of these characteristics, triphenylene may have uses in optics and electronics. Triphenylene is a disc-shaped molecule with a planar structure and three-fold rotation axes. Consisting of colorless needle-like crystals, it emits bluish purple fluorescence by UV irradiation. In terms of its crystallographic point group, the symmetry of triphenylene is classified as ""D"" in Schoenflies notation. Because of these characteristics,","pyridine-triphenylborane. Triarylborane amine complexes are used as catalysts for the polymerization of acrylic esters. Triphenylborane Triphenylborane, often abbreviated to BPh where Ph is the phenyl group CH-, is a chemical compound with the formula B(CH). It is a white crystalline solid and is both air and moisture sensitive, slowly forming benzene and triphenylboroxine. It is soluble in aromatic solvents. The core of the compound, BC, has a trigonal planar structure. The phenyl groups are rotated at about a 30° angle from the core plane. Even though triphenylborane and tris(pentafluorophenyl)borane are structurally similar, their Lewis acidity is not. BPh is a","tetrahydrofuran (THF) or benzene gave the formation of ArGeGeAr. The core structure C1-Ge1-Ge2-C2 has a centrosymmetric ""trans""-bent feature, with the C1-Ge1-Ge2 angle of 128.67(8)° and a considerably short distance of 2.2850(6) Å between two Ge atoms. It has a good conjugation between two terphenyl rings and C1-Ge1-Ge2-C2 plain because of the nearly zero torsion angle (0.4°) presented. Similar molecule, designated ArGeGeAr has been calculated before the characterization of ArGeGeAr, with the optimized ""trans""-bent core structure protected by even more crowded 2,6-TripCH (Ar, Trip = 2,4,6-triisopropylphenyl) groups. The trans bending in ArGeGeAr (123.2°) is comparable with ArGeGeAr, and the Ge-Ge distance"
9,"larger than the Earth's nevertheless; Jupiter has one 10–30 times heavier than Earth, and exoplanet HD149026 b has a core 67 times the mass of the Earth. In 1798, Henry Cavendish calculated the average density of the earth to be 5.48 times the density of water (later refined to 5.53), this led to the accepted belief that the Earth was much denser in its interior. Following the discovery of iron meteorites, Wiechert in 1898 postulated that the Earth had a similar bulk composition to iron meteorites, but the iron had settled to the interior of the Earth, and later represented","massive and dense planet could be Kepler-131b, although its density is not as well measured as that of Kepler 10c. The next most massive known solid planets are half this mass: 55 Cancri e and Kepler-20b. Gas planets can have large solid cores. The Saturn-mass planet HD 149026 b has only two-thirds of Saturn's radius, so it may have a rock–ice core of 60 Earth masses or more. Corot-20b has 4.24 times Jupiter's mass but a radius of only 0.84 that of Jupiter; it may have a metal core of 800 Earth masses if the heavy elements are concentrated in","to accurately determine its radius. The planet is about 0.784 with a small error margin of about 147 km. Transit timing variations and complex computer simulations helped accurately determine the mass of the planet, which led to scientists being able to calculate its density, surface gravity, and composition. TRAPPIST-1d is a mere 0.297 , making it one of the least massive exoplanets yet found. It has 61.6% the density of Earth (3.39 g/cm) and just under half the gravity. Both its mass, density, and surface gravity are the lowest in the entire TRAPPIST-1 system. In addition, the density of TRAPPIST-1d"
